layer,head,component,succ_mean,fail_mean,delta,n_succ,n_fail
2,18,harmful_instruction,0.0,0.0005114023830349582,-0.0005114023830349582,7,33
2,18,injected_reasoning,0.0,5.0081391559390404e-05,-5.0081391559390404e-05,7,33
2,19,benign_puzzle_scaffold,0.5501098460830376,0.42137577613134924,0.12873406995168835,7,33
2,19,final_answer_cue,0.20231253893798723,0.3273559035557651,-0.12504336461777787,7,33
2,19,harmful_instruction,0.0,0.0002834683111641287,-0.0002834683111641287,7,33
2,19,injected_reasoning,0.0,7.44547898106456e-05,-7.44547898106456e-05,7,33
2,20,benign_puzzle_scaffold,0.5602721866788555,0.44884982280709723,0.11142236387175825,7,33
2,20,final_answer_cue,0.16944595295071493,0.27408066076803056,-0.10463470781731563,7,33
2,20,harmful_instruction,0.0,0.00020586974220341113,-0.00020586974220341113,7,33
2,20,injected_reasoning,0.0,4.111151222295337e-05,-4.111151222295337e-05,7,33
2,21,benign_puzzle_scaffold,0.6150287689381317,0.5300204120590062,0.08500835687912556,7,33
2,21,final_answer_cue,0.08911786723067963,0.16508277840161117,-0.07596491117093154,7,33
2,21,harmful_instruction,0.0,4.841700356789935e-05,-4.841700356789935e-05,7,33
2,21,injected_reasoning,0.0,0.00047427876561872615,-0.00047427876561872615,7,33
2,22,benign_puzzle_scaffold,0.6478065412073774,0.5326524516438103,0.1151540895635671,7,33
2,22,final_answer_cue,0.13349506375521095,0.23775687486159197,-0.10426181110638102,7,33
2,22,harmful_instruction,0.0,8.387650062951688e-05,-8.387650062951688e-05,7,33
2,22,injected_reasoning,0.0,0.001584911311663003,-0.001584911311663003,7,33
2,23,benign_puzzle_scaffold,0.6007434595097595,0.5179193957375519,0.08282406377220763,7,33
2,23,final_answer_cue,0.0880596424772797,0.1676692180322163,-0.0796095755549366,7,33
2,23,harmful_instruction,0.0,2.7046983543854896e-05,-2.7046983543854896e-05,7,33
2,23,injected_reasoning,0.0,0.0003428017558042145,-0.0003428017558042145,7,33
3,0,benign_puzzle_scaffold,0.6032220743860607,0.5065779808018696,0.09664409358419113,7,33
3,0,final_answer_cue,0.12560964552402015,0.21470884670315696,-0.0890992011791368,7,33
3,0,harmful_instruction,0.0,0.00010791871189109884,-0.00010791871189109884,7,33
3,0,injected_reasoning,0.0,5.208799762295864e-05,-5.208799762295864e-05,7,33
3,1,benign_puzzle_scaffold,0.5801410355212281,0.47272185767072156,0.10741917785050653,7,33
3,1,final_answer_cue,0.16641224972596938,0.26890363399561457,-0.10249138426964519,7,33
3,1,harmful_instruction,0.0,0.0002595681090626131,-0.0002595681090626131,7,33
3,1,injected_reasoning,0.0,4.303769782621499e-05,-4.303769782621499e-05,7,33
3,2,benign_puzzle_scaffold,0.5822814983625771,0.47518388226021147,0.10709761610236568,7,33
3,2,final_answer_cue,0.17018324155833725,0.271592717321519,-0.10140947576318177,7,33
3,2,harmful_instruction,0.0,0.0001341458936415769,-0.0001341458936415769,7,33
3,2,injected_reasoning,0.0,0.00010696066238084164,-0.00010696066238084164,7,33
3,3,benign_puzzle_scaffold,0.6045862896725956,0.4957679532956588,0.10881833637693683,7,33
3,3,final_answer_cue,0.1533451980053918,0.25760503423235037,-0.10425983622695859,7,33
3,3,harmful_instruction,0.0,0.0002782593355463876,-0.0002782593355463876,7,33
3,3,injected_reasoning,0.0,0.0005050956475290431,-0.0005050956475290431,7,33
3,4,benign_puzzle_scaffold,0.5910932264441764,0.4857831786179262,0.1053100478262502,7,33
3,4,final_answer_cue,0.15369600887599952,0.25007521659110826,-0.09637920771510874,7,33
3,4,harmful_instruction,0.0,0.0003253444924306182,-0.0003253444924306182,7,33
3,4,injected_reasoning,0.0,0.00015782258405031428,-0.00015782258405031428,7,33
3,5,benign_puzzle_scaffold,0.5742358089231094,0.45187481710560135,0.12236099181750809,7,33
3,5,final_answer_cue,0.2024209066065546,0.3152426332656275,-0.11282172665907292,7,33
3,5,harmful_instruction,0.0,0.000634580118148218,-0.000634580118148218,7,33
3,5,injected_reasoning,0.0,0.0002522097211150021,-0.0002522097211150021,7,33
3,6,benign_puzzle_scaffold,0.6035670402766021,0.46414528413793915,0.13942175613866298,7,33
3,6,final_answer_cue,0.21716185920130848,0.35090525531366606,-0.13374339611235758,7,33
3,6,harmful_instruction,0.0,0.0003561466483412041,-0.0003561466483412041,7,33
3,6,injected_reasoning,0.0,0.0010024966714282685,-0.0010024966714282685,7,33
3,7,benign_puzzle_scaffold,0.5681751458944202,0.4509741992960006,0.11720094659841962,7,33
